file_name,contract_type,source_url,jurisdiction_note
AGREEMENT FOR BUILDING WHERE OWNER SUPPLIES PLOT AND ALL MATERIALS,labour contract,D:\ProjectAarya\Contract Analyzer\Templates\agreement-for-building-where-owner-supplies-plot-and-all-materials.docx,
Agreement for Appointment of a Broker for Selling a House,Agency Agreement,D:\ProjectAarya\Contract Analyzer\Templates\agreement-for-appointment-of-a-broker-for-selling-a-house.docx,
AGREEMENT FOR APPOINTING OF SALES AGENT,Agent Agreement,D:\ProjectAarya\Contract Analyzer\Templates\agreement-for-appointing-of-sales-agent.docx,
AGREEMENT BETWEEN PUBLISHER AND AUTHOR,Publishing Agreement,D:\ProjectAarya\Contract Analyzer\Templates\agreement-between-publisher-and-author.docx,
AGREEMENT BETWEEN PRINCIPAL AND MONOPOLY AGENT,Agency Agreement,D:\ProjectAarya\Contract Analyzer\Templates\agreement-between-principal-and-monopoly-agent.docx,
AGREEMENT BETWEEN MANUFACTURER AND DEALER,Distribution Agreement,D:\ProjectAarya\Contract Analyzer\Templates\agreement-between-manufacturer-and-dealer.docx,
AGREEMENT BETWEEN FIRM AND TRAVELING SALES AGENT,Traveling Sales Agency Agreement,D:\ProjectAarya\Contract Analyzer\Templates\agreement-between-firm-and-traveling-sales-agent.docx,
AGREEMENT BETWEEN FILM PRODUCERS AND DISTRIBUTORS,Film Production and Distribution Agreement,D:\ProjectAarya\Contract Analyzer\Templates\agreement-between-film-producers-and-distributors.docx,
Agreement between an Owner and an Architect for Construction of a Building,Architectural Services Agreement,D:\ProjectAarya\Contract Analyzer\Templates\agreement-between-an-owner-and-an-architect-for-construction-of-a-building.docx,
AGREEMENT BETWEEN AUTHOR AND PUBLISHER,Author-Publisher Agreement,D:\ProjectAarya\Contract Analyzer\Templates\agreement-between-author-and-publisher.docx,
AGREEMENT BETWEEN BUILDER AND A BROKER FOR SELLING THE FLATS TO BE CONSTRUCTED,Brokerage Agreement,D:\ProjectAarya\Contract Analyzer\Templates\agreement-between-builder-and-a-broker-for-selling-the-flats-to-be-constructed.docx,
AGREEMENT TO SUPPLY GOODS AS PER SAMPLE,Goods Supply Agreement,D:\ProjectAarya\Contract Analyzer\Templates\agreement-to-supply-goods-as-per-sample.docx,
AGREEMENT WITH AN AUCTIONEER,Auctioneer Authority Letter,D:\ProjectAarya\Contract Analyzer\Templates\agreement-with-an-auctioneer.docx,
CANCELLATION OF AN AGREEMENT,Mutual Agreement Cancellation,D:\ProjectAarya\Contract Analyzer\Templates\cancellation-of-an-agreement.docx,
Deed of Hypothecation - Machinery,Deed of Hypothecation,D:\ProjectAarya\Contract Analyzer\Templates\deed-of-hypothecation.docx,Arbitration venue at Chennai per Arbitration and Conciliation Act 1996
Loan Agreement,Personal Loan Agreement,D:\ProjectAarya\Contract Analyzer\Templates\loan-agreement.docx,
LOAN AGREEMENT WITH BANK,Bank Cash Credit Overdraft Agreement,D:\ProjectAarya\Contract Analyzer\Templates\loan-agreement-with-bank.docx,
