file_name,contract_type,source_url,jurisdiction_note
AGREEMENT FOR BUILDING LEASE,Agreement to Lease,D:\ProjectAarya\Contract Analyzer\Templates\agreement-for-building-lease.rtf,
AGREEMENT FOR APPOINTMENT OF SOLE SELLING AGENT BY MANUFACTURING COMPANY,Agency Agreement,D:\ProjectAarya\Contract Analyzer\Templates\agreement-for-appointment-of-sole-selling-agent-by-manufacturing-company.rtf,
AGREEMENT BETWEEN THE COMPUTER CONSULTANT AND PROGRAMMER FOR GRANT OF COPYRIGHT IN COMPUTER SOFTWARE,Intellectual Property Assignment Agreement,D:\ProjectAarya\Contract Analyzer\Templates\agreement-between-the-computer-consultant-and-programmer-for-grant-of-copyright-in-computer-software.rtf,
AGREEMENT BETWEEN OWNERS AND LABOUR CONTRACTOR FOR SUPPLY OF LABOUR,Labour Contract,D:\ProjectAarya\Contract Analyzer\Templates\agreement-between-owners-and-labour-contractor-for-supply-of-labour.rtf,
AGREEMENT BETWEEN MANUFACTURER AND SOLE SELLING AGENTS WITH CANVASSING RIGHTS,Sole Selling Agency Agreement,D:\ProjectAarya\Contract Analyzer\Templates\agreement-between-manufacturer-and-sole-selling-agents-with-canvassing-rights.rtf,
AGREEMENT BETWEEN MANUFACTURER AND COMMISSION AGENT,Commission Agency Agreement,D:\ProjectAarya\Contract Analyzer\Templates\agreement-between-manufacturer-and-commission-agent.rtf,
AGREEMENT BETWEEN A BUILDING OWNER AND AN ARTIST,Artistic Services Agreement,Templates/agreement-between-building-owner-and-an-artist.rtf,
AGREEMENT 0F REFERENCE TO TWO ARBITRATORS,Arbitration Reference Agreement,D:\ProjectAarya\Contract Analyzer\Templates\agreement-0f-reference-to-two-arbitrators.rtf,
AGREEMENT ADMITTING MINOR TO THE BENEFITS OF PARTNERSHIP,Partnership Admission Agreement,D:\ProjectAarya\Contract Analyzer\Templates\agreement-admiting-the-minor-to-the-benefit-of-partnership.rtf,
AGREEMENT APPOINTING BROKER FOR SALE OF A SHOP ALONG WITH STOCK IN TRADE REMAINING UNSOLD,Brokerage Agreement,D:\ProjectAarya\Contract Analyzer\Templates\agreement-appointing-broker-for-sale-of-a-shop-along-with-stock-in-trade-remaining-unsold.rtf,
AGREEMENT BETWEEN A COMPANY AND A CONTRACTOR FOR CONSTRUCTION OF BODY OF THE COMPAINTS STAFF BUSES,Construction Contract,D:\ProjectAarya\Contract Analyzer\Templates\agreement-between-a-comapny-and-a-contractor-for-construction-of-body-of-the-compaints-staff-buses.rtf,
AGREEMENT BETWEEN A COMPANY AND A CATERER FOR RUNNING A CANTEEN IN THE FACTORY FOR ITS STAFF,Canteen Management Agreement,D:\ProjectAarya\Contract Analyzer\Templates\agreement-between-a-company-and-a-caterer-for-running-a-canteen.rtf,
AGREEMENT BETWEEN A COMPANY AND AN ADVERTISING AGENCY,Advertising Agency Agreement,D:\ProjectAarya\Contract Analyzer\Templates\agreement-between-a-company-and-an-advertising-agency.rtf,
AGREEMENT BETWEEN A COMPANY AND ITS BRANCH MANAGER,Employment Agreement,D:\ProjectAarya\Contract Analyzer\Templates\agreement-between-a-company-and-its-branch-manager.rtf,
AGREEMENT BETWEEN A COMPANY AND MANAGER,Employment Agreement,D:\ProjectAarya\Contract Analyzer\Templates\agreement-between-a-company-and-manager.rtf,
AGREEMENT BETWEEN A COMPANY AND SECURITY SERVICE COMPANY FOR PROVIDING SECURITY SERVICES TO THE COMPANY'S PROPERTY,Security Services Agreement,D:\ProjectAarya\Contract Analyzer\Templates\agreement-between-a-company-and-security-service-company.rtf,
AGREEMENT BETWEEN A COMPANY AND SOLE SELLING AGENTS,Sole Selling Agency Agreement,D:\ProjectAarya\Contract Analyzer\Templates\agreement-between-a-company-and-sole-selling-agents.rtf,
AGREEMENT BETWEEN AN INDIAN PUBLISHER AND FOREIGN PUBLISHER FOR GRANT OF LICENCE FOR PUBLICATION OF THE BOOK IN FOREIGN COUNTRY,International Publishing License Agreement,D:\ProjectAarya\Contract Analyzer\Templates\agreement-between-a-indian-publisher-and-a-foreign-publisher.rtf,Governed by laws of India; arbitration in New Delhi per Indian Council of Arbitration rules
AGREEMENT BETWEEN A MANUFACTURER AND SELLING AGENT,Selling Agency Agreement,D:\ProjectAarya\Contract Analyzer\Templates\agreement-between-a-manufacturer-and-selling-agent.rtf,
AGREEMENT ADMITTING A MINOR TO THE BENEFIT OF PARTNERSHIP,Partnership Admission Agreement,D:\ProjectAarya\Contract Analyzer\Templates\agreement-between-a-minor-for-the-partnership.rtf,
AGREEMENT BETWEEN A NEWSPAPER PUBLISHER AND AN ADVERTISING AGENCY FOR SECURING ADVERTISEMENT,Advertising Agency Agreement,D:\ProjectAarya\Contract Analyzer\Templates\agreement-between-a-newspaper-publisher-and-an-advertising-agency.rtf,
